event_date,year,disorder_type,event_type,sub_event_type,actor1,inter1,admin1,admin2,location,latitude,longitude,fatalities
2024-09-12,2024,Political violence,Battles,Armed clash,Zamfara Communal Militia (Nigeria),4,Zamfara,Tsafe,Yan Doton Daji,12.0641,6.8773,11.0
2024-09-12,2024,Political violence,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),4,Kaduna,Birnin Gwari,Kakangi,10.7106,6.2066,2.0
2024-09-12,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Delta,Sapele,Sapele,5.8941,5.6767,0.0
2024-09-12,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Federal Capital Territory,Kwali,Kwali,8.8672,7.005,0.0
2024-09-12,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Akwa Ibom,Essien Udim,Ikot Esurua,5.1553,7.6653,0.0
2024-09-12,2024,Political violence,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),4,Kaduna,Kachia,Kurmin Kare,9.7643,7.4541,2.0
2024-09-11,2024,Political violence,Battles,Armed clash,Niger Communal Militia (Nigeria),4,Niger,Shiroro,Bassa,10.0986,6.6197,31.0
2024-09-11,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Kurfi,Kurfi,12.6684,7.4841,0.0
2024-09-11,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Kwara,Baruten,Kosubosu,9.5511,3.2284,0.0
2024-09-11,2024,Political violence,Battles,Armed clash,Fulani Ethnic Militia (Nigeria),4,Imo,Owerri West,Irete,5.5192,6.9898,1.0
2024-09-10,2024,Demonstrations,Riots,Violent demonstration,Rioters (Nigeria),5,Bauchi,Toro,Zaranda,10.2194,9.5278,0.0
2024-09-10,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Kachia,Gidan Azara,9.6186,7.4597,3.0
2024-09-10,2024,Political violence,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),4,Benue,Gwer West,Naka,7.5887,8.2087,7.0
2024-09-10,2024,Political violence,Violence against civilians,Attack,Hunters Group of Nigeria,4,Bauchi,Toro,Zaranda,10.2194,9.5278,2.0
2024-09-10,2024,Strategic developments,Strategic developments,Disrupted weapons use,Katsina State Community Watch Corps (Nigeria),3,Katsina,Batsari,Batsari,12.7515,7.2447,0.0
2024-09-10,2024,Strategic developments,Strategic developments,Looting/property destruction,Niger Communal Militia (Nigeria),4,Niger,Tafa,Tafa,9.1355,7.1348,0.0
2024-09-10,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Borno,Maiduguri Metro,Maiduguri,11.8312,13.1517,0.0
2024-09-10,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Gombe,Akko,Kashere,9.909,11.0105,0.0
2024-09-10,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Lagos,Ojo,Ojo,6.4538,3.2059,0.0
2024-09-10,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Ebonyi,Ohaukwu,Isieke,6.3783,8.0352,0.0
2024-09-10,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Delta,Oshimili South,Asaba,6.2006,6.7339,0.0
2024-09-10,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Edo,Oredo,Benin City,6.3351,5.6275,0.0
2024-09-09,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Kaduna Communal Militia (Nigeria),4,Kaduna,Birnin Gwari,Sabon Kuyelo,11.213,6.9083,0.0
2024-09-09,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Borno,Bama,Jinneri,11.4302,14.2862,6.0
2024-09-09,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Kagarko,Kasangwai,9.5555,7.7412,4.0
2024-09-09,2024,Political violence,Violence against civilians,Attack,Military Forces of Nigeria (2023-),1,Delta,Ughelli South,Okuama,5.2728,5.8388,3.0
2024-09-09,2024,Political violence,Violence against civilians,Attack,Military Forces of Nigeria (2023-),1,Benue,Gboko,Gboko,7.3179,8.9951,1.0
2024-09-09,2024,Political violence,Violence against civilians,Attack,Nawfia Communal Militia (Nigeria),4,Anambra,Njikoka,Enugu-Ukwu,6.1715,7.0053,3.0
2024-09-09,2024,Political violence,Violence against civilians,Attack,Police Forces of Nigeria (2023-),1,Ondo,Akoko South West,Akungba,7.4742,5.7384,0.0
2024-09-09,2024,Political violence,Violence against civilians,Attack,Sokoto Communal Militia (Nigeria),4,Sokoto,Bodinga,Gubrawa,12.9493,5.18,1.0
2024-09-09,2024,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Nigeria),3,Federal Capital Territory,Bwari,Dei-Dei,9.0993,7.2789,0.0
2024-09-09,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Taraba,Jalingo,Jalingo,8.8833,11.3667,0.0
2024-09-09,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Kwara,Ilorin West,Ilorin,8.4875,4.5235,0.0
2024-09-09,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Ondo,Akoko South West,Akungba,7.4742,5.7384,0.0
2024-09-09,2024,Demonstrations,Riots,Violent demonstration,Rioters (Nigeria),5,Benue,Gboko,Gboko,7.3179,8.9951,0.0
2024-09-08,2024,Political violence,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),4,Kaduna,Kachia,Kurutu,9.7369,7.6204,1.0
2024-09-08,2024,Political violence,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),4,Kaduna,Kajuru,Maro,10.0817,7.7247,1.0
2024-09-08,2024,Political violence,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),4,Kaduna,Kajuru,Afogo,10.3679,7.8224,5.0
2024-09-07,2024,Political violence,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),4,Niger,Katcha,Lafiagi-Zadi,9.0693,6.2172,0.0
2024-09-07,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Imo,Mbaitoli,Orodo,5.6166,7.0333,1.0
2024-09-07,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Federal Capital Territory,Kuje,Kuchiako,8.8742,7.2521,0.0
2024-09-06,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Taraba,Jalingo,Jalingo,8.8833,11.3667,0.0
2024-09-06,2024,Political violence,Violence against civilians,Attack,Unidentified Cult Militia (Nigeria),3,Lagos,Ojo,Okokomaiko,6.4642,3.1822,1.0
2024-09-06,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Zamfara,Bungudu,Kwatarkwashi,12.1408,6.822,1.0
2024-09-05,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Kaduna Communal Militia (Nigeria),4,Kaduna,Chikun,Manini,10.6538,6.8526,0.0
2024-09-05,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Ogun,Ikenne,Ilishan-Remo,6.8932,3.7117,0.0
2024-09-05,2024,Demonstrations,Protests,Protest with intervention,Protesters (Nigeria),6,Kwara,Ilorin West,Ilorin,8.4875,4.5235,0.0
2024-09-05,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Kaduna Communal Militia (Nigeria),4,Kaduna,Kachia,Kurmin Kare,9.7643,7.4541,0.0
2024-09-04,2024,Strategic developments,Strategic developments,Looting/property destruction,IPOB: Indigenous Peoples of Biafra,2,Imo,Obowo,Umulogho,5.5562,7.3774,0.0
2024-09-04,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Delta,Ughelli North,Ughelli,5.4899,6.0074,0.0
2024-09-04,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Delta,Warri South,Warri,5.5167,5.75,0.0
2024-09-04,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Delta,Uvwie,Effurun,5.5546,5.7862,0.0
2024-09-04,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Kaduna Communal Militia (Nigeria),4,Kaduna,Chikun,Danhono,10.5251,7.4892,0.0
2024-09-04,2024,Political violence,Battles,Armed clash,Katsina Communal Militia (Nigeria),4,Katsina,Jibia,Magama Jibia,13.1218,7.257,0.0
2024-09-04,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Katsina,Jibia,Jibia,13.0978,7.2225,10.0
2024-09-04,2024,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Nigeria (2023-),1,Kaduna,Kagarko,Kagarko,9.4833,7.6833,0.0
2024-09-04,2024,Political violence,Battles,Armed clash,Unidentified Armed Group (Nigeria),3,Rivers,Port Harcourt,Port Harcourt,4.7774,7.0134,0.0
2024-09-04,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Yobe,Gujba,Buni Yadi,11.2689,11.9994,0.0
2024-09-04,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Oyo,Lagelu,Olorunda,7.4838,3.9895,0.0
2024-09-04,2024,Political violence,Violence against civilians,Attack,Police Forces of Nigeria (2023-),1,Kwara,Ilorin West,Ilorin,8.4875,4.5235,1.0
2024-09-03,2024,Political violence,Violence against civilians,Attack,Military Forces of Nigeria (2023-),1,Adamawa,Mubi South,Wafa,10.1454,13.3342,2.0
2024-09-03,2024,Political violence,Battles,Armed clash,Unidentified Armed Group (Nigeria),3,Delta,Uvwie,Effurun,5.5546,5.7862,3.0
2024-09-03,2024,Political violence,Battles,Armed clash,IPOB: Indigenous Peoples of Biafra,2,Anambra,Idemili South,Oba,6.0667,6.8403,1.0
2024-09-03,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Niger,Minna,Minna,9.6139,6.5569,1.0
2024-09-03,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Kano,Kano Municipal,Kano,12.0,8.5167,0.0
2024-09-03,2024,Political violence,Violence against civilians,Attack,IPOB: Indigenous Peoples of Biafra,2,Imo,Obowo,Umulogho,5.5562,7.3774,1.0
2024-09-03,2024,Political violence,Battles,Armed clash,IPOB: Indigenous Peoples of Biafra,2,Imo,Isiala Mbano,Umu Elemai,5.6833,7.2333,2.0
2024-09-03,2024,Political violence,Violence against civilians,Attack,Plateau Communal Militia (Nigeria),4,Plateau,Bokkos,Kwatas,9.3407,8.9985,4.0
2024-09-03,2024,Political violence,Violence against civilians,Attack,Plateau Communal Militia (Nigeria),4,Plateau,Bokkos,Daffo,9.2333,8.85,3.0
2024-09-03,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Ogun,Ikenne,Ilishan-Remo,6.8932,3.7117,1.0
2024-09-03,2024,Political violence,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),4,Federal Capital Territory,Abaji,Ruwaza,8.8385,6.8436,1.0
2024-09-03,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Rivers,Khana,Bori,4.6737,7.362,2.0
2024-09-03,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Borno,Gwoza,Gwoza,11.084,13.6925,0.0
2024-09-03,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Kachia,Kabode,9.9031,7.8792,1.0
2024-09-03,2024,Political violence,Violence against civilians,Attack,Plateau Communal Militia (Nigeria),4,Plateau,Bokkos,Bokkos,9.2993,8.9954,7.0
2024-09-02,2024,Demonstrations,Riots,Violent demonstration,Rioters (Nigeria),5,Adamawa,Yola-North,Yola,9.2,12.4833,0.0
2024-09-02,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Pirates (Nigeria),3,Rivers,Port Harcourt,Port Harcourt,4.7774,7.0134,0.0
2024-09-02,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Federal Capital Territory,Abuja Municipal,Abuja,9.0833,7.5333,0.0
2024-09-02,2024,Political violence,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),4,Benue,Ado,Igumale,6.7918,7.985,1.0
2024-09-02,2024,Political violence,Battles,Armed clash,Hunters Group of Nigeria,4,Kaduna,Kachia,Kachia,9.8734,7.9541,2.0
2024-09-02,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Kachia,Bishini,9.6305,7.3374,2.0
2024-09-02,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Imo,Owerri West,Orogwe,5.5393,6.9809,2.0
2024-09-02,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Borno,Gwoza,Gwoza,11.084,13.6925,2.0
2024-09-02,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Borno,Mafa,Ngwom,11.8826,13.3434,4.0
2024-09-02,2024,Political violence,Battles,Armed clash,Sokoto Communal Militia (Nigeria),4,Sokoto,Bodinga,Bodinga,12.8761,5.1719,2.0
2024-09-01,2024,Political violence,Battles,Armed clash,Fulani Ethnic Militia (Nigeria),4,Kogi,Mopa-Muro,Takete Ide,8.1667,6.0333,0.0
2024-09-01,2024,Political violence,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),4,Kogi,Mopa-Muro,Takete Ide,8.1667,6.0333,0.0
2024-09-01,2024,Political violence,Battles,Armed clash,Hunters Group of Nigeria,4,Kaduna,Kachia,Kurutu,9.7369,7.6204,1.0
2024-09-01,2024,Political violence,Violence against civilians,Attack,Islamic State (West Africa),2,Yobe,Tarmua,Mafa,12.3205,12.1076,34.0
2024-08-31,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Edo,Owan West,Uhomora,6.8707,5.9484,1.0
2024-08-31,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Igabi,Sabon Birni,10.8121,7.3022,6.0
2024-08-31,2024,Political violence,Battles,Armed clash,Kogi Communal Militia (Nigeria),4,Kogi,Ankpa,Ankpa,7.3706,7.6253,3.0
2024-08-31,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Kachia,Gidan Azara,9.6186,7.4597,3.0
2024-08-31,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Ondo,Akoko South West,Supare,7.4525,5.6936,1.0
2024-08-31,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Edo,Owan West,Uhomora,6.8707,5.9484,0.0
2024-08-31,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Delta,Ika North East,Umunede,6.2637,6.3116,0.0
2024-08-31,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Taraba,Jalingo,Jalingo,8.8833,11.3667,0.0
2024-08-30,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Birnin Gwari,Gayam,10.7487,6.8888,1.0
2024-08-30,2024,Political violence,Violence against civilians,Attack,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Yobe,Geidam,Hausari,12.8794,11.9218,3.0
2024-08-30,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Birnin Gwari,Kamfanin Doka,10.7979,6.6345,7.0
2024-08-30,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Oyo,Akinyele,University of Ibadan,7.4431,3.9022,0.0
2024-08-30,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Kaduna,Chikun,Rido,10.4567,7.5119,0.0
2024-08-30,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Delta,Ethiope East,Kokori,5.6312,6.0351,0.0
2024-08-30,2024,Political violence,Violence against civilians,Attack,Nasarawa Communal Militia (Nigeria),4,Nassarawa,Lafia,Lafia,8.4833,8.5167,1.0
2024-08-30,2024,Political violence,Battles,Armed clash,Police Forces of Nigeria (2023-),1,Anambra,Ogbaru,Atani,6.0158,6.7446,0.0
2024-08-29,2024,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2023-),1,Borno,Abadan,Abadam,13.6169,13.2644,20.0
2024-08-29,2024,Strategic developments,Strategic developments,Disrupted weapons use,Police Forces of Nigeria (2023-),1,Katsina,Dutsinma,Dutsin Ma,12.4517,7.4981,0.0
2024-08-29,2024,Demonstrations,Protests,Protest with intervention,Protesters (Nigeria),6,Lagos,Lagos Mainland,Makoko,6.4961,3.3878,0.0
2024-08-29,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Zamfara Communal Militia (Nigeria),4,Zamfara,Talata Mafara,Talata Mafara,12.5684,6.0623,0.0
2024-08-29,2024,Political violence,Battles,Armed clash,Police Forces of Nigeria (2023-),1,Cross River,Akamkpa,Uyanga Okpo Usun,5.3824,8.2631,1.0
2024-08-29,2024,Political violence,Battles,Armed clash,Katsina Communal Militia (Nigeria),4,Katsina,Batsari,Yar Gamji,12.9398,7.2353,5.0
2024-08-29,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Zamfara,Zurmi,Kwashebawa,12.9498,6.8622,0.0
2024-08-29,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Rivers,Port Harcourt,Port Harcourt,4.7774,7.0134,0.0
2024-08-29,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Federal Capital Territory,Bwari,Ushapa,9.2185,7.4122,1.0
2024-08-28,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Zamfara,Bukkuyum,Dan Marke,11.83,5.3538,1.0
2024-08-28,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Yobe,Gujba,Gujba,11.5032,11.9367,2.0
2024-08-28,2024,Strategic developments,Strategic developments,Agreement,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Borno,Gwoza,Gwoza,11.084,13.6925,0.0
2024-08-28,2024,Political violence,Violence against civilians,Attack,Niger Communal Militia (Nigeria),4,Niger,Tafa,New Bwari,9.2786,7.2954,0.0
2024-08-27,2024,Political violence,Battles,Armed clash,Gbagyi Ethnic Militia (Nigeria),4,Niger,Bosso,Beji,9.6329,6.3293,5.0
2024-08-27,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Zamfara,Maradun,Faru Magami,12.8507,6.1949,10.0
2024-08-27,2024,Political violence,Battles,Armed clash,Kaduna Communal Militia (Nigeria),4,Kaduna,Birnin Gwari,Gayam,10.7487,6.8888,7.0
2024-08-27,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Kachia,Kurmin Kare,9.7643,7.4541,2.0
2024-08-27,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Kaduna Communal Militia (Nigeria),4,Kaduna,Birnin Gwari,Kwaga,10.7098,6.6252,0.0
2024-08-27,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Borno,Ngala,Logomani,12.1976,14.0223,5.0
2024-08-27,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Zamfara,Talata Mafara,Matusgi,12.6075,6.1069,28.0
2024-08-27,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Rivers,Port Harcourt,Port Harcourt,4.7774,7.0134,0.0
2024-08-27,2024,Political violence,Battles,Armed clash,Gbenpakan Communal Militia (Nigeria),4,Oyo,Saki West,Ilua,8.6499,3.3629,10.0
2024-08-27,2024,Political violence,Battles,Armed clash,Unidentified Armed Group (Nigeria),3,Anambra,Ogbaru,Ochuche-Umuodo,5.9501,6.7301,1.0
2024-08-27,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Anambra,Onisha North,Onitsha,6.1454,6.7885,1.0
